1,Gosen model 2,60.03,106,342,3990
2,Skip Shot model 2,07.71,185,264,2817
3,First USA model 1,1.90,172,97,3157
4,Spalding model 3,0.00,0,0,1234
5,Roll Out model 2,28.68,99,137,70
6,Gosen model 2,22.97,111,211,809
7,Nelson model 2,06.79,62,206,3634
8,Gosen model 2,31.55,106,107,3608
9,Johnson model 1,5.87,131,250,2510
10,Head model 1,3.53,52,53,3641
11,Ektelon model 2,90.78,88,185,1192
12,First USA model 1,7.69,172,147,3125
13,Wilson model 4,5887.61,194,119,1490
14,Bubble Face model 1,3.70,15,280,3648
15,Wilson model 3,560.43,75,201,1150
16,Pinch model 3,128.50,140,30,743
17,Santa Anne Company model 3,163.44,161,80,1678
18,Bubble Face model 3,548.67,66,176,2925
19,Swain model 2,42.55,189,131,307
20,Beefcake model 3,658.55,38,191,3072
21,Pinch model 1,5.04,12,371,3625
22,Spalding model 2,73.73,61,136,1211
23,Bubble Face model 1,4.81,97,151,410
24,Santa Anne Company model 2,46.21,125,267,2386
25,Z-Ball model 2,29.50,29,40,620
26,Skip Shot model 1,1.43,156,80,3117
27,Gosen model 3,511.22,135,365,2988
28,Spalding model 2,83.95,182,226,83
29,Swain model 1,2.58,170,270,479
30,CourtPlay model 2,66.12,47,104,3117
31,Santa Anne Company model 3,124.42,119,145,3305
32,Spalding model 1,1.68,182,206,873
33,CourtPlay model 4,3486.63,47,392,3978
34,Head model 1,1.09,197,234,644
35,Ellis model 1,9.52,188,130,2501
36,Santa Anne Company model 3,497.38,125,193,1922
37,Head model 4,1321.88,52,231,602
38,Marty Hogan model 2,78.06,13,317,296
39,Swain model 3,362.91,170,188,2127
40,Bubble Face model 2,64.87,139,127,2531
41,Beefcake model 3,890.65,31,77,258
42,Bubble Face model 1,8.74,24,257,3851
43,First USA model 2,33.47,138,85,3075
44,Bubble Face model 3,578.51,54,305,787
45,Bubble Face model 1,8.03,97,234,3576
46,Santa Anne Company model 2,06.83,161,103,677
47,Pinch model 3,686.61,133,57,638
48,Bubble Face model 3,782.69,49,266,2548
49,Ellis model 3,222.20,16,199,23
50,First USA model 4,8595.63,172,292,3303
51,Johnson model 3,038.65,200,99,3596
52,Gosen model 1,9.21,106,204,2085
53,Pro Kennex model 3,314.85,193,220,3373
54,Marty Hogan model 3,649.79,13,54,1703
55,Nike model 1,0.00,0,0,2984
56,Beefcake model 3,609.96,151,239,2847
57,CourtPlay model 4,4062.80,47,246,2941
58,Johnson model 4,6030.56,19,358,1293
59,Pinch model 4,3131.64,12,298,1668
